"bridge_size" "mean_sil_score" "mofa_knn_acc_bal" "mofa_rmse"
1305 0.428829755116002 0.85288729506771 0.857274277485238
870 0.408283208507418 0.8509680967863 0.83980975560985
435 0.39994426448585 0.841968164765321 0.739788647905648
290 0.386841562951831 0.831966067679274 0.721703212808577
228 0.369896841476129 0.812742825033878 0.714342714192988
174 0.370740051511332 0.81390070741797 0.708524634134094
116 0.294215533699089 0.745913337906415 0.70499317350048
87 0.268619607255199 0.782512337777103 0.706590839662801
44 0.0910296973376488 0.656283842357826 0.721625467039019
17 -0.0639196349695581 0.293278219401775 0.748230181188198
