"bridge_size" "mean_sil_score" "knn_acc_bal" "rmse" "rmse_atac" "rmse_rna"
10 -0.0774245617065965 0.321512718383809 0.753993957393974 0.935809712518721 0.55836684875979
52 0.131510829571512 0.710579397916849 0.71315142746982 0.896559096139434 0.500378594921649
104 0.271578404667816 0.747575639959289 0.704064525118647 0.883730709140297 0.480552181748956
156 0.351382884460951 0.815415417014716 0.706662668819471 0.879838295647085 0.477212033580778
218 0.376260841489718 0.803800619558097 0.713054827439556 0.878307317542838 0.475928245021706
438 0.406782167401767 0.846520664890667 0.740268610951204 0.875043749450085 0.463561690612222
653 0.422685530640953 0.838184247526776 0.780831188389361 0.873923209848368 0.452850935929837
870 0.434998504689924 0.854885103489298 0.83980975560985 0.873236782799087 0.402039640079142
953 0.437094609460484 0.851641986890041 0.873265757186673 0.873265757186673 NA
1088 0.397960937594156 0.853054542131451 0.863777663588904 0.863777663588904 NA
1305 0.410588207578488 0.854791365777754 0.857274277485238 0.857274277485238 NA
1523 0.417328533876719 0.856356281309229 0.849302135573261 0.849302135573261 NA
1730 0.421170936188877 0.849376500172745 0.792661572370174 0.792661572370174 NA
